temperature,humidity,capacity,water flow,day,time
30.02,46,270,50,28/05/2020,6:33:12
29.18,53,300,53,28/05/2020,6:37:13
30.9,65,300,43,28/05/2020,6:40:15
29.5,62,300,50,28/05/2020,6:42:52
29,66,270,32,28/05/2020,6:45:17
29.62,68,270,35,28/05/2020,6:52:12
29.15,54,300,49,28/05/2020,6:58:30
30.2,51,300,52,28/05/2020,7:05:29
32.85,65,300,40,28/05/2020,12:16:52
32.8,52,300,50,28/05/2020,12:11:29
33,30,290,60,28/05/2020,12:07:11
33.025,28,280,60,28/05/2020,12:14:26
33.25,38,290,55,28/05/2020,12:10:04
33,40,280,50,28/05/2020,12:00:29
33.2,35,290,56,28/05/2020,12:12:49
33.5,63,280,40,28/05/2020,12:02:16
32.5,64,280,41,28/05/2020,15:33:14
32,66,300,45,28/05/2020,15:53:07
31.125,62,300,40,28/05/2020,15:34:58
31,65,280,38,28/05/2020,15:32:58
31.2,62,300,39,28/05/2020,15:52:03
30.75,66,300,46,28/05/2020,15:44:20
30.8,68,300,44,28/05/2020,15:52:36
30.5,69,290,38,28/05/2020,15:54:08
29.5,73,290,24,28/05/2020,20:09:49
30,65,300,40,28/05/2020,20:14:51
30.125,70,300,30,28/05/2020,20:17:46
30,65,290,42,28/05/2020,20:20:08
30.2,62,290,45,28/05/2020,20:07:36
30.75,60,300,48,28/05/2020,20:08:15
30.5,59,300,48,28/05/2020,20:15:25
30,58,300,47,28/05/2020,20:29:03
29.34,62,270,40,29/05/2020,7:02:05
29.5,59,300,45,29/05/2020,7:08:18
28.8,61,300,46,29/05/2020,7:14:09
30.2,65,300,38,29/05/2020,7:15:11
29.5,55,270,32,29/05/2020,7:18:37
30.5,66,270,35,29/05/2020,7:20:05
29.8,69,300,29,29/05/2020,7:28:57
30.25,62,300,45,29/05/2020,7:29:56
31.85,52,300,30,29/05/2020,9:00:53
32,54,300,50,29/05/2020,9:11:18
32.5,50,290,65,29/05/2020,9:13:37
31.75,55,280,45,29/05/2020,9:15:54
31.75,58,290,40,29/05/2020,9:17:09
32,58,280,40,29/05/2020,9:21:57
31.5,55,290,45,29/05/2020,9:25:12
32,52,280,48,29/05/2020,9:29:42
33.5,48,280,55,29/05/2020,15:32:35
33.25,45,300,55,29/05/2020,15:33:32
32.75,42,300,60,29/05/2020,15:34:49
33.15,50,280,55,29/05/2020,15:47:14
32.125,48,300,50,29/05/2020,15:51:19
33.75,46,300,48,29/05/2020,15:53:33
33.125,49,300,45,29/05/2020,15:54:29
33,51,290,50,29/05/2020,15:58:44
29.5,55,290,40,29/05/2020,18:35:14
31,53,300,55,29/05/2020,18:37:51
31.125,54,300,40,29/05/2020,18:40:29
30.5,60,290,45,29/05/2020,18:42:35
30.75,58,290,43,29/05/2020,18:53:40
30.75,47,300,55,29/05/2020,18:55:03
30.5,60,300,40,29/05/2020,18:57:34
30.625,51,300,55,29/05/2020,18:59:14
31.75,62,270,40,30/05/2020,8:08:16
31.62,63,300,40,30/05/2020,8:19:51
31.63,62,300,40,30/05/2020,8:22:04
31,61,300,40,30/05/2020,8:23:29
31.92,61,270,35,30/05/2020,8:24:53
31.8,66,270,35,30/05/2020,8:26:43
32.2,58,300,50,30/05/2020,8:29:42
32,60,300,48,30/05/2020,8:30:43
33.23,48,300,55,30/05/2020,10:09:20
32.56,55,300,52,30/05/2020,10:14:29
32,49,290,55,30/05/2020,10:17:12
33.025,45,280,65,30/05/2020,10:18:22
33.25,52,290,62,30/05/2020,10:25:00
32,61,280,50,30/05/2020,10:26:13
32.15,55,290,50,30/05/2020,10:28:07
32.5,46,280,55,30/05/2020,10:34:21
32.5,45,280,60,30/05/2020,15:31:01
32,32,300,66,30/05/2020,15:36:02
32.26,35,300,60,30/05/2020,15:41:24
32,40,280,55,30/05/2020,15:42:42
32,42,300,60,30/05/2020,15:48:21
33.12,44,300,58,30/05/2020,15:50:05
33.2,38,300,60,30/05/2020,15:52:38
30.5,32,290,65,30/05/2020,15:53:44
30,39,290,60,30/05/2020,19:20:59
30.12,40,300,60,30/05/2020,19:25:51
30.125,43,300,58,30/05/2020,19:27:45
30.5,45,290,55,30/05/2020,19:30:18
29.5,48,290,55,30/05/2020,19:36:41
30.75,42,300,60,30/05/2020,19:37:58
30.26,40,300,60,30/05/2020,19:42:02
30,38,300,38,30/05/2020,19:56:10
31,33,270,60,31/05/2020,7:06:34
30.8,38,300,53,31/05/2020,7:09:10
31,38,300,45,31/05/2020,7:11:19
30.62,40,300,50,31/05/2020,7:19:07
31.6825,39,270,32,31/05/2020,7:20:32
31.6,37,270,35,31/05/2020,7:22:34
30.82,33,300,49,31/05/2020,7:23:18
30.6,40,300,52,31/05/2020,7:25:43
32,39,300,30,31/05/2020,10:06:24
32.8,33,300,50,31/05/2020,10:14:45
31.98,44,290,65,31/05/2020,10:17:12
31.3,33,280,70,31/05/2020,10:20:33
31,39,290,62,31/05/2020,10:21:24
31.2,43,280,55,31/05/2020,10:22:56
30.58,32,290,60,31/05/2020,10:28:45
31.5,33,280,40,31/05/2020,10:29:35
29,44,280,30,31/05/2020,17:33:57
29.5,36,300,35,31/05/2020,17:34:14
29.6,31,300,40,31/05/2020,17:35:18
30,32,280,28,31/05/2020,17:37:12
30.5,40,300,35,31/05/2020,17:44:35
30.12,34,300,30,31/05/2020,17:52:32
29.16,40,300,30,31/05/2020,17:53:57
29.92,36,290,25,31/05/2020,17:55:26
30,36,290,24,31/05/2020,21:26:40
30.2,45,300,28,31/05/2020,21:29:36
30.45,43,300,25,31/05/2020,21:30:28
30.23,45,290,30,31/05/2020,21:37:01
29.8,30,290,32,31/05/2020,21:39:08
29.72,32,300,38,31/05/2020,21:41:59
30.03,41,300,35,31/05/2020,21:44:33
29.5,45,300,38,31/05/2020,21:45:49
30.5,32,270,60,01/06/2020,7:05:27
30.72,43,300,53,01/06/2020,7:07:10
30.12,43,300,45,01/06/2020,7:09:24
31.02,32,300,50,01/06/2020,7:19:44
31.16,35,270,32,01/06/2020,7:25:21
31.8,37,270,35,01/06/2020,7:26:03
32.06,35,300,49,01/06/2020,7:27:35
32.51,31,300,52,01/06/2020,7:30:08
32.85,45,300,30,01/06/2020,10:00:29
33,38,300,50,01/06/2020,10:01:56
33.1,39,290,65,01/06/2020,10:03:23
33.025,44,280,70,01/06/2020,10:05:56
32.82,35,290,62,01/06/2020,10:11:26
32.21,34,280,55,01/06/2020,10:12:57
32.87,36,290,60,01/06/2020,10:29:48
33.5,36,280,40,01/06/2020,11:14:39
32.6,39,280,30,01/06/2020,15:12:16
32,32,300,35,01/06/2020,15:14:19
32.32,39,300,40,01/06/2020,15:16:05
31.82,35,280,28,01/06/2020,15:21:50
31.2,35,300,35,01/06/2020,15:23:57
31.45,35,300,30,01/06/2020,15:24:13
30.8,34,300,30,01/06/2020,15:27:44
30.5,35,290,25,01/06/2020,15:29:52
29.93,44,290,24,01/06/2020,19:00:46
30,41,300,28,01/06/2020,19:08:39
30.125,35,300,25,01/06/2020,19:09:44
30,40,290,30,01/06/2020,19:11:31
30.39,45,290,32,01/06/2020,19:12:14
30.22,41,300,38,01/06/2020,19:14:22
30.5,33,300,35,01/06/2020,19:18:16
30,34,300,38,01/06/2020,19:22:25
31.87,44,270,60,02/06/2020,6:00:50
32.13,45,300,53,02/06/2020,6:01:19
30.9,38,300,45,02/06/2020,6:10:26
31,44,300,50,02/06/2020,6:23:02
31.6825,35,270,32,02/06/2020,6:14:54
31.8,34,270,35,02/06/2020,6:19:00
32.06,33,300,49,02/06/2020,6:20:50
32,45,300,52,02/06/2020,6:12:40
32.85,41,300,30,02/06/2020,9:16:28
32.8,38,300,50,02/06/2020,9:28:28
33,38,290,65,02/06/2020,9:19:15
33.025,31,280,70,02/06/2020,9:20:31
33.25,40,290,62,02/06/2020,9:13:44
33,38,280,55,02/06/2020,9:21:22
33.2,35,290,60,02/06/2020,9:20:49
33.5,40,280,40,02/06/2020,9:05:49
32.5,30,280,30,02/06/2020,16:20:27
32,37,300,35,02/06/2020,16:01:54
31.125,36,300,40,02/06/2020,16:28:05
31,42,280,28,02/06/2020,16:16:08
31.2,34,300,35,02/06/2020,16:17:33
30.75,38,300,30,02/06/2020,16:27:54
30.8,43,300,30,02/06/2020,16:18:58
30.5,34,290,25,02/06/2020,16:20:31
29.5,34,290,24,02/06/2020,20:53:39
30,35,300,28,02/06/2020,20:23:04
30.125,36,300,25,02/06/2020,20:54:31
30,31,290,30,02/06/2020,20:42:11
30.2,33,290,32,02/06/2020,20:48:24
30.75,32,300,38,02/06/2020,20:28:17
30.5,43,300,35,02/06/2020,20:23:55
30,35,300,38,02/06/2020,20:21:12
31.87,45,270,60,03/06/2020,7:01:10
32.13,40,300,53,03/06/2020,7:05:23
